seq_index;scenario_rank;scenario_proba_cond_seq;GeneChoice_V_gene_Undefined_side_prio7_size89;GeneChoice_J_gene_Undefined_side_prio7_size15;GeneChoice_D_gene_Undefined_side_prio6_size3;Deletion_V_gene_Three_prime_prio5_size21;Deletion_D_gene_Five_prime_prio5_size21;Deletion_J_gene_Five_prime_prio5_size23;Deletion_D_gene_Three_prime_prio5_size21;Insertion_VD_genes_Undefined_side_prio4_size31;DinucMarkov_VD_genes_Undefined_side_prio3_size16;Insertion_DJ_gene_Undefined_side_prio2_size31;DinucMarkov_DJ_gene_Undefined_side_prio1_size16;Mismatches
133;4;0.0562134;(61);(8);(0);(10);(7);(10);(3);(2);(2,0);(1);(1);()
133;5;0.0444499;(61);(8);(0);(10);(7);(11);(3);(2);(2,0);(2);(1,1);()
133;6;0.0394018;(61);(8);(0);(10);(7);(10);(2);(2);(2,0);(0);();()
133;7;0.0340101;(61);(8);(0);(10);(8);(10);(3);(3);(2,0,0);(1);(1);()
133;8;0.0333895;(61);(8);(0);(10);(9);(10);(4);(4);(2,0,0,1);(2);(1,2);()
133;9;0.0300701;(61);(8);(0);(10);(8);(11);(4);(3);(2,0,0);(3);(1,1,2);()
133;10;0.0277797;(61);(8);(0);(11);(7);(10);(4);(3);(2,2,0);(2);(1,2);()
128;1;0.222349;(69);(9);(1);(5);(9);(6);(5);(1);(2);(3);(1,2,0);(260)
128;2;0.114399;(69);(9);(1);(5);(9);(6);(6);(1);(2);(4);(1,2,0,2);(260)
128;3;0.0909079;(69);(9);(1);(5);(10);(6);(5);(2);(2,3);(3);(1,2,0);(260)
128;4;0.0877852;(69);(9);(1);(6);(9);(6);(5);(2);(2,2);(3);(1,2,0);(260)
128;5;0.0451659;(69);(9);(1);(6);(9);(6);(6);(2);(2,2);(4);(1,2,0,2);(260)
128;6;0.0373522;(69);(9);(1);(5);(12);(6);(5);(4);(2,3,0,2);(3);(1,2,0);(260)
128;7;0.0347337;(69);(9);(1);(5);(9);(6);(7);(1);(2);(5);(1,2,0,2,2);(260)
128;8;0.0310039;(69);(9);(1);(5);(11);(6);(6);(3);(2,3,0);(4);(1,2,0,2);(260)
128;9;0.0299173;(69);(9);(1);(5);(10);(6);(6);(2);(2,3);(4);(1,2,0,2);(260)
128;10;0.0244073;(69);(9);(1);(7);(9);(6);(5);(3);(0,2,2);(3);(1,2,0);(260)
131;1;0.167853;(49);(7);(0);(4);(7);(5);(8);(2);(0,0);(5);(2,3,2,0,0);()
131;2;0.111728;(49);(7);(0);(4);(8);(5);(8);(3);(0,0,0);(5);(2,3,2,0,0);()
131;3;0.0925439;(49);(7);(0);(5);(7);(5);(8);(3);(2,0,0);(5);(2,3,2,0,0);()
131;4;0.068593;(49);(7);(0);(5);(8);(5);(8);(4);(2,0,0,0);(5);(2,3,2,0,0);()
131;5;0.0513886;(49);(7);(0);(4);(7);(5);(9);(2);(0,0);(6);(2,3,2,0,0,2);()
131;6;0.0434345;(49);(7);(0);(4);(8);(5);(9);(3);(0,0,0);(6);(2,3,2,0,0,2);()
131;7;0.0419383;(49);(7);(0);(4);(7);(6);(8);(2);(0,0);(6);(3,2,3,2,0,0);()
131;8;0.0283326;(49);(7);(0);(5);(7);(5);(9);(3);(2,0,0);(6);(2,3,2,0,0,2);()
131;9;0.0279154;(49);(7);(0);(4);(8);(6);(8);(3);(0,0,0);(6);(3,2,3,2,0,0);()
131;10;0.0266658;(49);(7);(0);(5);(8);(5);(9);(4);(2,0,0,0);(6);(2,3,2,0,0,2);()
122;1;0.269267;(42);(6);(0);(5);(8);(5);(7);(12);(2,3,3,2,0,1,3,3,0,0,0,1);(0);();()
122;2;0.068985;(42);(6);(0);(5);(8);(6);(7);(12);(2,3,3,2,0,1,3,3,0,0,0,1);(1);(3);()
122;3;0.0637146;(42);(6);(0);(6);(8);(5);(7);(13);(2,2,3,3,2,0,1,3,3,0,0,0,1);(0);();()
122;4;0.0613335;(42);(6);(0);(5);(8);(7);(7);(12);(2,3,3,2,0,1,3,3,0,0,0,1);(2);(1,3);()
122;5;0.0399514;(42);(6);(0);(5);(8);(5);(9);(12);(2,3,3,2,0,1,3,3,0,0,0,1);(2);(2,2);()
122;6;0.0380749;(42);(6);(0);(5);(9);(5);(7);(13);(2,3,3,2,0,1,3,3,0,0,0,1,1);(0);();()
122;7;0.0379958;(42);(6);(0);(5);(6);(5);(11);(3);(2,3,3);(11);(2,2,2,0,1,1,0,0,0,3,3);()
122;8;0.0377286;(42);(6);(0);(5);(8);(5);(8);(12);(2,3,3,2,0,1,3,3,0,0,0,1);(1);(2);()
122;9;0.0283914;(42);(6);(0);(5);(8);(8);(7);(12);(2,3,3,2,0,1,3,3,0,0,0,1);(3);(1,1,3);()
122;10;0.0256528;(42);(6);(1);(5);(6);(5);(14);(3);(2,3,3);(10);(2,2,2,0,1,1,0,0,0,3);()
137;1;0.0509213;(25);(7);(2);(7);(14);(11);(7);(0);();(3);(2,2,0);()
137;2;0.0481318;(25);(7);(2);(7);(16);(11);(5);(3);(2,2,0);(0);();()
137;3;0.0428125;(25);(7);(0);(7);(9);(11);(8);(3);(2,2,0);(0);();()
137;4;0.0227827;(25);(7);(2);(7);(5);(11);(16);(0);();(3);(2,2,0);()
137;5;0.0207896;(25);(7);(2);(7);(13);(11);(9);(0);();(4);(2,2,0,0);()
137;6;0.0195008;(25);(7);(2);(7);(14);(12);(7);(0);();(4);(0,2,2,0);()
137;7;0.0189729;(25);(7);(2);(7);(16);(12);(5);(3);(2,2,0);(1);(0);()
137;8;0.0168761;(25);(7);(0);(7);(9);(12);(8);(3);(2,2,0);(1);(0);()
137;9;0.0162668;(25);(7);(2);(7);(14);(11);(8);(0);();(4);(2,2,0,0);()
137;10;0.0138082;(25);(7);(2);(7);(18);(11);(4);(0);();(4);(2,2,0,0);()
139;1;0.256257;(49);(9);(1);(6);(11);(12);(9);(5);(1,3,0,3,1);(2);(3,1);()
139;2;0.114306;(49);(9);(2);(6);(11);(12);(9);(5);(1,3,0,3,1);(2);(3,1);()
139;3;0.0680009;(49);(9);(1);(7);(11);(12);(9);(6);(3,1,3,0,3,1);(2);(3,1);()
139;4;0.0615888;(49);(9);(2);(6);(12);(12);(9);(6);(1,3,0,3,1,2);(2);(3,1);()
139;5;0.0411351;(49);(9);(1);(6);(11);(12);(10);(5);(1,3,0,3,1);(3);(3,1,2);()
139;6;0.0350088;(49);(9);(1);(6);(12);(12);(9);(6);(1,3,0,3,1,2);(2);(3,1);()
139;7;0.0303324;(49);(9);(2);(7);(11);(12);(9);(6);(3,1,3,0,3,1);(2);(3,1);()
139;8;0.0259642;(49);(9);(1);(8);(11);(12);(9);(7);(3,3,1,3,0,3,1);(2);(3,1);()
139;9;0.0210118;(49);(9);(1);(6);(11);(13);(9);(5);(1,3,0,3,1);(3);(3,3,1);()
139;10;0.0191358;(49);(9);(2);(7);(12);(12);(9);(7);(3,1,3,0,3,1,2);(2);(3,1);()
135;1;0.26329;(1);(5);(0);(6);(7);(14);(6);(6);(0,1,3,3,3,0);(2);(1,0);()
135;2;0.165848;(1);(5);(0);(6);(7);(14);(7);(6);(0,1,3,3,3,0);(3);(1,0,2);()
135;3;0.0952297;(1);(5);(0);(7);(7);(14);(6);(7);(2,0,1,3,3,3,0);(2);(1,0);()
135;4;0.0854697;(1);(5);(0);(6);(8);(14);(7);(7);(0,1,3,3,3,0,0);(3);(1,0,2);()
135;5;0.0599856;(1);(5);(0);(7);(7);(14);(7);(7);(2,0,1,3,3,3,0);(3);(1,0,2);()
135;6;0.0550935;(1);(5);(0);(6);(8);(14);(6);(7);(0,1,3,3,3,0,0);(2);(1,0);()
135;7;0.0348263;(1);(5);(0);(6);(7);(14);(8);(6);(0,1,3,3,3,0);(4);(1,0,2,2);()
135;8;0.0240612;(1);(5);(0);(7);(8);(14);(7);(8);(2,0,1,3,3,3,0,0);(3);(1,0,2);()
135;9;0.0185222;(1);(5);(0);(6);(8);(14);(8);(7);(0,1,3,3,3,0,0);(4);(1,0,2,2);()
135;10;0.0177194;(1);(5);(0);(6);(7);(15);(6);(6);(0,1,3,3,3,0);(3);(3,1,0);()
143;1;0.153158;(45);(0);(2);(11);(12);(9);(8);(4);(0,3,1,2);(1);(2);()
143;2;0.115432;(45);(0);(2);(11);(11);(9);(9);(3);(0,3,1);(2);(2,2);()
143;3;0.10604;(45);(0);(2);(11);(11);(9);(8);(3);(0,3,1);(1);(2);()
143;4;0.101488;(45);(0);(2);(11);(12);(9);(9);(4);(0,3,1,2);(2);(2,2);()
143;5;0.0421157;(45);(0);(2);(11);(12);(10);(8);(4);(0,3,1,2);(2);(0,2);()
143;6;0.0291591;(45);(0);(2);(11);(11);(10);(8);(3);(0,3,1);(2);(0,2);()
143;7;0.0241513;(45);(0);(0);(11);(11);(9);(5);(5);(0,3,1,2,1);(0);();()
143;8;0.0216472;(45);(0);(2);(11);(13);(9);(8);(5);(0,3,1,2,1);(1);(2);()
143;9;0.0198353;(45);(0);(2);(11);(11);(10);(9);(3);(0,3,1);(3);(0,2,2);()
143;10;0.0174392;(45);(0);(2);(11);(12);(10);(9);(4);(0,3,1,2);(3);(0,2,2);()
134;1;0.0512208;(60);(9);(1);(8);(13);(10);(7);(2);(3,2);(4);(3,3,3,3);()
134;2;0.0496588;(59);(9);(1);(8);(13);(10);(7);(2);(3,2);(4);(3,3,3,3);()
134;3;0.0235658;(60);(9);(1);(8);(13);(10);(7);(1);(3);(5);(3,3,3,3,2);()
134;4;0.0228472;(59);(9);(1);(8);(13);(10);(7);(1);(3);(5);(3,3,3,3,2);()
134;5;0.0164831;(60);(9);(0);(8);(11);(10);(5);(2);(3,2);(4);(3,3,3,3);()
134;6;0.0163913;(60);(9);(1);(8);(13);(10);(6);(1);(3);(4);(3,3,3,3);()
134;7;0.0158914;(59);(9);(1);(8);(13);(10);(6);(1);(3);(4);(3,3,3,3);()
134;8;0.0156135;(59);(9);(0);(8);(11);(10);(5);(2);(3,2);(4);(3,3,3,3);()
134;9;0.0136437;(60);(9);(1);(8);(15);(10);(5);(2);(3,2);(4);(3,3,3,3);()
134;10;0.0132277;(59);(9);(1);(8);(15);(10);(5);(2);(3,2);(4);(3,3,3,3);()
125;1;0.263304;(19);(1);(0);(12);(9);(6);(6);(10);(3,3,3,2,2,3,2,2,0,3);(6);(2,3,3,3,2,0);()
125;2;0.0842962;(19);(1);(0);(12);(9);(6);(7);(10);(3,3,3,2,2,3,2,2,0,3);(7);(2,3,3,3,2,0,2);()
125;3;0.0464225;(19);(1);(0);(12);(9);(7);(6);(10);(3,3,3,2,2,3,2,2,0,3);(7);(0,2,3,3,3,2,0);()
125;4;0.0390078;(19);(1);(2);(12);(16);(6);(4);(10);(3,3,3,2,2,3,2,2,0,3);(7);(2,3,3,3,2,0,2);()
125;5;0.0382407;(19);(1);(2);(12);(13);(6);(6);(12);(3,3,3,2,2,3,2,2,0,3,0,2);(4);(2,3,3,3);()
125;6;0.0366611;(19);(1);(0);(12);(11);(6);(5);(11);(3,3,3,2,2,3,2,2,0,3,0);(6);(2,3,3,3,2,0);()
125;7;0.0255059;(19);(1);(2);(12);(13);(6);(7);(12);(3,3,3,2,2,3,2,2,0,3,0,2);(5);(2,3,3,3,2);()
125;8;0.0250729;(19);(1);(0);(12);(9);(8);(6);(10);(3,3,3,2,2,3,2,2,0,3);(8);(0,0,2,3,3,3,2,0);()
125;9;0.0167022;(19);(1);(0);(12);(10);(6);(6);(11);(3,3,3,2,2,3,2,2,0,3,0);(6);(2,3,3,3,2,0);()
125;10;0.0153266;(19);(1);(0);(13);(9);(6);(6);(11);(1,3,3,3,2,2,3,2,2,0,3);(6);(2,3,3,3,2,0);()
146;1;0.286702;(58);(7);(0);(14);(5);(11);(9);(0);();(9);(3,2,2,0,2,2,1,1,0);()
146;2;0.167191;(58);(7);(0);(13);(6);(11);(9);(0);();(9);(3,2,2,0,2,2,1,1,0);()
146;3;0.0772477;(58);(7);(0);(14);(6);(11);(9);(1);(2);(9);(3,2,2,0,2,2,1,1,0);()
146;4;0.0734756;(58);(7);(0);(14);(5);(12);(9);(0);();(10);(0,3,2,2,0,2,2,1,1,0);()
146;5;0.0428476;(58);(7);(0);(13);(6);(12);(9);(0);();(10);(0,3,2,2,0,2,2,1,1,0);()
146;6;0.0392929;(58);(7);(0);(13);(8);(11);(9);(2);(2,0);(9);(3,2,2,0,2,2,1,1,0);()
146;7;0.0277984;(58);(7);(0);(14);(7);(11);(9);(2);(2,2);(9);(3,2,2,0,2,2,1,1,0);()
146;8;0.0273927;(58);(7);(0);(13);(7);(11);(9);(1);(2);(9);(3,2,2,0,2,2,1,1,0);()
146;9;0.0203605;(58);(7);(0);(14);(8);(11);(9);(3);(2,2,0);(9);(3,2,2,0,2,2,1,1,0);()
146;10;0.0197969;(58);(7);(0);(14);(6);(12);(9);(1);(2);(10);(0,3,2,2,0,2,2,1,1,0);()
144;1;0.618061;(26);(12);(0);(9);(6);(4);(9);(7);(1,3,0,1,1,1,3);(3);(1,0,0);()
144;2;0.0912907;(26);(12);(0);(9);(6);(4);(10);(7);(1,3,0,1,1,1,3);(4);(1,0,0,2);()
144;3;0.0648297;(26);(12);(0);(9);(6);(5);(9);(7);(1,3,0,1,1,1,3);(4);(1,1,0,0);()
144;4;0.0447824;(26);(12);(0);(10);(6);(4);(9);(8);(3,1,3,0,1,1,1,3);(3);(1,0,0);()
144;5;0.0371881;(26);(12);(0);(9);(7);(4);(9);(8);(1,3,0,1,1,1,3,2);(3);(1,0,0);()
144;6;0.0225221;(26);(12);(0);(9);(8);(4);(9);(9);(1,3,0,1,1,1,3,2,0);(3);(1,0,0);()
144;7;0.0173999;(26);(12);(0);(9);(6);(4);(11);(7);(1,3,0,1,1,1,3);(5);(1,0,0,2,0);()
144;8;0.0165137;(26);(12);(0);(11);(6);(4);(9);(9);(2,3,1,3,0,1,1,1,3);(3);(1,0,0);()
144;9;0.0147921;(26);(12);(0);(9);(6);(6);(9);(7);(1,3,0,1,1,1,3);(5);(3,1,1,0,0);()
144;10;0.00661459;(26);(12);(0);(10);(6);(4);(10);(8);(3,1,3,0,1,1,1,3);(4);(1,0,0,2);()
142;1;0.0795094;(49);(2);(2);(5);(17);(12);(2);(2);(2,2);(7);(1,1,0,2,1,3,0);()
142;2;0.0781971;(49);(2);(0);(4);(11);(12);(4);(0);();(8);(1,1,0,2,1,3,0,1);()
142;3;0.0736355;(49);(2);(2);(4);(17);(12);(2);(1);(2);(7);(1,1,0,2,1,3,0);()
142;4;0.0500062;(49);(2);(2);(4);(18);(12);(2);(2);(2,2);(7);(1,1,0,2,1,3,0);()
142;5;0.0384422;(49);(2);(0);(5);(11);(12);(4);(1);(2);(8);(1,1,0,2,1,3,0,1);()
142;6;0.0373114;(49);(2);(0);(4);(6);(12);(11);(9);(2,2,2,2,1,1,0,3,1);(1);(1);()
142;7;0.0289471;(49);(2);(2);(4);(6);(12);(15);(9);(2,2,2,2,1,1,0,3,1);(1);(1);()
142;8;0.0275704;(49);(2);(2);(5);(18);(12);(2);(3);(2,2,2);(7);(1,1,0,2,1,3,0);()
142;9;0.0258503;(49);(2);(0);(5);(10);(12);(4);(0);();(8);(1,1,0,2,1,3,0,1);()
142;10;0.0212047;(49);(2);(0);(4);(11);(12);(5);(0);();(9);(1,1,0,2,1,3,0,1,1);()
141;1;0.175701;(46);(14);(0);(7);(3);(2);(4);(3);(3,3,0);(1);(0);()
141;2;0.156588;(46);(14);(0);(7);(4);(2);(4);(4);(3,3,0,1);(1);(0);()
